,S No,data_extrcn_date,data_extrcn_epoch,state,RTO,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
0,1,2023-02-02,1675327224.0,Andaman & Nicobar Island(7),Port Blair DTO - AN1( 15-AUG-2020 ),BAJAJ AUTO LTD,49,45,49,39,28,47,35,43,49,38,43,36,501
1,2,2023-02-02,1675327224.0,Andaman & Nicobar Island(7),Port Blair DTO - AN1( 15-AUG-2020 ),CLASSIC LEGENDS PVT LTD,0,1,0,3,2,3,1,0,1,0,2,2,15
2,3,2023-02-02,1675327224.0,Andaman & Nicobar Island(7),Port Blair DTO - AN1( 15-AUG-2020 ),HERO MOTOCORP LTD,68,63,65,68,71,75,65,70,69,51,43,49,757
3,4,2023-02-02,1675327224.0,Andaman & Nicobar Island(7),Port Blair DTO - AN1( 15-AUG-2020 ),HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,76,121,90,100,95,112,108,99,125,102,130,120,"1,278"
4,5,2023-02-02,1675327224.0,Andaman & Nicobar Island(7),Port Blair DTO - AN1( 15-AUG-2020 ),INDIA YAMAHA MOTOR PVT LTD,27,32,28,32,22,23,24,22,32,16,25,20,303
5,6,2023-02-02,1675327224.0,Andaman & Nicobar Island(7),Port Blair DTO - AN1( 15-AUG-2020 ),JITENDRA NEW EV-TECH PVT. LTD,0,0,0,0,0,0,0,0,0,0,1,0,1
6,7,2023-02-02,1675327224.0,Andaman & Nicobar Island(7),Port Blair DTO - AN1( 15-AUG-2020 ),PUR ENERGY PVT LTD,0,0,0,0,0,0,0,0,0,0,5,10,15
7,8,2023-02-02,1675327224.0,Andaman & Nicobar Island(7),Port Blair DTO - AN1( 15-AUG-2020 ),ROYAL-ENFIELD (UNIT OF EICHER LTD),23,20,18,16,14,20,23,21,19,28,10,15,227
8,9,2023-02-02,1675327224.0,Andaman & Nicobar Island(7),Port Blair DTO - AN1( 15-AUG-2020 ),SUZUKI MOTORCYCLE INDIA PVT LTD,44,33,44,65,51,63,39,54,61,52,63,42,611
9,10,2023-02-02,1675327224.0,Andaman & Nicobar Island(7),Port Blair DTO - AN1( 15-AUG-2020 ),TVS MOTOR COMPANY LTD,49,73,90,84,75,80,90,89,128,122,83,103,"1,066"
